Matter_ID,RMS_CaseNumber_Standardized,Suspect_Other_NJIT,Suspect_Roommate,Suspect_Authority,Suspect_Relative,Suspect_Coworker,Suspect_Parental_figure,Suspect_Friend_not_romantic
5151058,08-459332,1,0,0,1,0,0,0
5151091,09-240974,1,0,0,1,0,0,0
5151153,09-129955,1,0,0,0,0,1,0
5151244,95-39609,1,0,0,0,0,1,0
5151257,95-25893,1,0,0,0,0,0,1
5151264,95-29448,1,0,0,0,0,0,1
5151378,07-387676,1,0,1,0,0,0,0
5151890,07-33423,1,0,0,0,0,0,0
5152316,07-291994,1,0,1,0,0,0,0
5153795,07-465028,1,0,0,1,0,0,0
5155072,14-1972,1,0,1,0,0,0,0
5156179,06-79702,1,0,0,0,1,0,0
5163642,11-12226,1,0,0,1,0,0,0
5163996,95-69930,1,0,1,0,0,0,0
5164000,95-64599,1,0,0,0,0,1,0
5164779,95-103665,1,0,1,0,0,0,0
5165866,08-8527,1,0,1,0,0,0,0
5168137,96-14683,1,0,0,1,0,0,0
5168148,96-827,1,0,0,0,0,1,0
5168183,96-3663,1,0,0,1,0,0,0
5170071,03-68133,1,0,0,1,0,0,0
5170140,93-41331,1,0,0,1,0,0,0
5170175,93-47054,1,0,0,0,0,0,1
5170732,01-303410,1,0,0,0,0,0,1
5171478,01-330535,1,0,0,1,0,0,0
5171621,01-259390,1,0,0,0,0,0,1
5172859,01-116005,1,1,0,0,0,0,0
5172933,96-10031,1,0,0,1,0,0,0
5172947,96-12069,1,0,0,0,0,1,0
5174857,96-33960,1,0,0,0,0,0,1
5174942,96-22177,1,0,0,1,0,0,0
5175314,03-287868,1,0,0,0,1,0,0
5175408,96-27364,1,0,0,0,0,0,1
5176071,00-164061,1,0,0,0,0,0,1
5176408,03-265046,1,0,1,0,0,0,0
5178260,96-34135,1,0,1,0,0,0,0
5178317,96-38301,1,0,1,0,0,0,0
5178318,96-38563,1,0,1,0,0,0,0
5178325,94048147,1,0,0,1,0,0,0
5178344,96-41224,1,0,1,0,0,0,0
5178858,95014740,1,0,0,1,0,0,0
5180003,96-50525,1,0,0,1,0,0,0
5180075,96-58464,1,0,0,0,0,0,1
5180180,96-66908,1,0,0,1,0,0,0
5180586,96-47603,1,0,0,0,0,0,1
5180755,97-19609,1,0,1,0,0,0,0
5180895,01-409667,1,0,0,1,0,0,0
5181317,97-35138,1,0,0,0,0,1,0
5181335,00-36414,1,0,0,0,0,1,0
5181430,99-39431,1,0,1,0,0,0,0
5181692,97-52094,1,0,0,0,0,0,1
5181727,00-556496,1,1,0,0,0,0,0
5181857,97-63330,1,0,0,1,0,0,0
5181901,97-71264,1,0,0,1,0,0,0
5182328,97-87651,1,0,0,0,0,1,0
5182510,98-17411,1,0,0,1,0,0,0
5182647,98-42945,1,0,0,0,0,1,0
5183179,98-71482,1,0,0,1,0,0,0
5183339,98-68773,1,0,0,1,0,0,0
5183350,98-79147,1,0,0,0,0,1,0
5183402,02-296424,1,0,0,0,0,0,1
5183964,98-9672,1,0,0,0,0,1,0
5184665,99-65303,1,0,1,0,0,0,0
5185137,99-86851,1,0,0,1,0,0,0
5185137,99-86851,1,0,0,1,0,0,0
5186351,03-365908,1,0,0,0,0,0,1
5186355,03-357539,1,0,0,0,0,0,1
5186373,03-351174,1,0,0,1,0,0,0
5186424,03-24684,1,0,0,1,0,0,0
5186442,03-136158,1,0,0,0,0,0,1
5186497,04-194971,1,0,0,1,0,0,0
5186520,06-52157,1,0,0,1,0,0,0
5186586,92-25650,1,0,0,0,0,0,1
5186656,04-546068,1,0,0,0,0,0,1
5186675,06-515162,1,1,0,0,0,0,0
5186987,07-48820,1,0,0,0,0,0,1
5186991,07-93505,1,0,1,0,0,0,0
5187780,03-5499,1,0,0,1,0,0,0
5187834,07-102280,1,1,0,0,0,0,0
5187843,06-219173,1,0,0,0,0,0,1
5187851,03-273793,1,0,0,0,0,0,1
5188062,06-160553,1,0,0,0,0,0,1
5188299,02-196398,1,0,0,1,0,0,0
5188364,02-596084,1,0,0,1,0,0,0
5188472,04-452484,1,0,0,0,0,0,1
5188564,06-200380,1,0,0,0,1,0,0
5188603,02-233463,1,0,0,1,0,0,0
5188808,06-53627,1,0,0,1,0,0,0
5189200,04-108820,1,0,0,1,0,0,0
5189572,02-79271,1,0,0,0,0,1,0
5191946,04-172688,1,0,0,1,0,0,0
5192144,04-489245,1,0,0,1,0,0,0
5192162,04-66000,1,0,0,1,0,0,0
5192241,03-467798,1,0,0,1,0,0,0
5192385,97-102897,1,0,0,1,0,0,0
5192582,05-73325,1,0,0,0,0,0,1
5193234,98-88524,1,0,0,0,0,1,0
5193683,05-284056,1,0,0,1,0,0,0
5193765,05-325251,1,0,0,1,0,0,0
5193769,05-333148,1,0,0,1,0,0,0
5194631,08-7430,1,0,0,0,0,1,0
5194721,00-343115,1,0,0,1,0,0,0
5195017,01-114056,1,0,0,0,0,0,1
5195636,05-542665,1,0,0,0,0,0,1
5195641,05-550174,1,0,1,0,0,0,0
5195641,05-550174,1,0,1,0,0,0,0
5195641,05-550174,1,0,1,0,0,0,0
5195792,06-98746,1,0,0,0,0,1,0
5196134,06-254039,1,0,1,0,0,0,0
5197962,06-300714,1,0,0,1,0,0,0
5198861,07-242007,1,0,0,0,0,1,0
