word,frequency
came,839
leave,309
medic,5
doctor,459
cregar,1
released,433
chappelle,26
completed,419
hrs,645
rapesupplement,9
saturday,99
dejesus,19
dispatched,27
pick,236
assault,385
nurse,190
examiner,26
dennis,69
robinson,33
registered,99
gave,434
pertaining,11
strickler,114
briefly,18
manager,67
worked,19
bellefaire,2
facility,18
little,71
supervisor,81
school,223
later,335
thru,74
interviews,53
frank,14
jeffery,6
keith,25
trying,103
sabrina,6
masten,2
far,26
knew,141
witnesses,54
ashley,28
walker,44
antoine,4
johnson,121
statements,118
location,810
occurrence,155
photos,419
array,25
first,246
try,52
living,221
biological,14
live,100
apt,102
ohio,334
aretha,1
release,61
form,321
sent,150
named,1454
jarman,2
harvey,12
submission,8
crime,1270
hours,846
contact,600
requested,139
lives,135
year,181
son,130
yr,17
daughter,323
pregnant,32
fiance,4
admit,4
knowing,19
antwon,4
baldwin,7
mr,417
pros,106
jerlstrom,24
grand,305
jury,266
baldwins,1
service,38
contacted,282
gloria,10
forwarded,91
cuyahoga,147
county,241
review,212
respea,1
james,252
mcpike,83
oicd,1
kg,1
da,3
sgill,1
rpts,23
bar,177
broadway,40
automobile,522
vict,493
hair,222
parked,143
unk,29
hysterical,13
unable,411
daughtrs,1
amale,29
interviewed,378
issued,494
conn,1
charity,159
trauma,54
hosp,61
available,80
cv,542
supplemental,567
crimechild,218
working,206
alone,165
following,877
manner,314
listed,263
saw,332
futher,98
assist,241
leads,552
lavelle,194
det,905
n,133
pursley,114
reporting,1080
reports,746
approached,314
screaming,99
randy,11
wouldnt,53
stuff,32
hit,139
assistance,82
transported,237
rainbow,32
attempted,405
ns,270
weconferred,1
washing,7
opened,112
socks,26
threw,135
mothers,81
bed,588
placed,470
pillow,25
punch,15
crazy,20
hands,151
moved,76
towards,131
siu,510
central,81
savita,1
gaid,1
crisis,67
ctr,5
lynn,1
lisw,1
kean,1
confiscated,108
berg,189
association,27
subject,227
northside,265
spivey,6
louis,18
haneys,1
reviewing,119
along,213
formation,4
contained,18
determined,48
louise,3
haney,2
deceased,8
searched,40
kyra,5
alexander,14
belinda,8
aka,14
gator,2
kim,24
parties,52
noted,30
whose,6
race,43
match,27
west,552
know,456
anything,187
work,200
belindajehnson,1
friend,452
family,242
always,20
sure,96
hospitals,8
anyone,124
returning,34
day,246
digital,11
versatile,8
disc,9
recording,4
showed,93
bmv,4
introduced,13
advocate,9
caster,1
crcc,2
signed,225
audio,5
dolores,1
alexanderand,1
pursued,6
identify,73
true,19
identity,18
shown,37
reginald,20
felt,93
looked,96
familiar,7
none,52
others,20
reiterated,1
boyfriend,274
records,97
dcfs,12
obtained,186
enclosed,5
emails,1
regarding,95
prosecutors,61
kits,17
george,41
young,32
emailed,7
brian,33
mcdonough,11
inquired,15
wether,1
officialy,1
handling,8
prosecution,97
yound,1
confirmed,26
investigators,4
handle,28
respcetfully,1
updetective,1
approximately,948
northbound,99
dickens,11
unidentified,26
southbound,116
whats,24
bitch,184
excuse,2
mate,16
wooden,16
revolver,21
start,37
fuck,101
reached,93
open,184
field,104
top,323
malelk,7
maleale,14
victimale,77
himale,4
continually,15
forehead,15
mouth,254
vaginal,317
phase,3
times,315
better,46
ill,165
rectal,13
repeatedly,93
scream,118
fucking,47
ejaculating,48
rectum,31
lying,70
ground,165
tell,222
anybody,20
detectives,148
ptl,187
deborah,6
simmons,3
fax,210
tuesday,103
split,7
second,153
provide,43
details,193
event,16
recalls,23
markusmace,8
duvall,29
october,17
jermaine,6
thomas,61
addresses,12
check,468
ansel,32
rd,81
sentto,1
grandmother,66
relay,3
ss,15
thursday,134
june,30
respon,1
ded,1
huron,123
presence,48
juvenile,372
wednesday,96
forest,8
hills,10
swimming,1
pool,8
venesa,1
boo,8
invited,22
juveniles,45
brother,182
near,119
detroit,90
encouraged,5
drink,75
beer,94
lie,23
room,1160
past,106
awoke,55
beside,19
sleepy,5
mind,23
bigger,4
stronger,3
persistant,2
comply,14
questioned,35
attention,51
full,35
per,453
ptlm,27
tim,16
taylor,119
become,11
result,59
justice,100
neither,11
worker,200
alissa,2
name,707
habitual,10
runaway,16
filed,79
court,113
currently,33
months,63
hives,1
children,226
history,28
neglect,2
hearing,25
probation,599
lost,31
custody,57
younger,17
ordered,186
blakemore,1
assisted,87
filing,18
found,398
age,108
years,145
paternity,2
cases,14
pending,76
lunzia,1
ruling,4
action,23
upclean,192
centersex,12
constitutional,222
rights,385
governing,31
selfincrimination,21
understood,242
agreed,124
without,115
attorney,68
williams,82
given,192
possibly,66
test,29
done,176
assistant,248
fritz,81
direct,22
rapeaggravated,10
robberykidnapping,1
bicycleblackhuffy,1
girls,40
bike,15
rode,23
riding,27
jumped,83
seemed,33
turn,115
blow,36
abandoned,59
bustedout,1
window,144
money,197
towhich,1
taking,123
boots,7
rear,333
pocket,71
liar,4
slapped,54
face,347
using,45
fell,98
afterwhich,3
feet,55
bending,4
ejacuated,1
caught,48
metro,353
chaethana,1
sellersg,20
sexcrimeschild,29
answer,87
responsecontact,1
prepaired,2
maild,3
final,40
notice,25
mail,68
presented,289
nopapers,2
willing,23
prosecute,67
hunter,29
codis,47
listing,10
interest,9
look,112
bfritz,3
cleanupcleanup,10
friday,132
smith,104
approaching,19
superior,84
observed,343
eastbound,116
talking,169
shoulder,27
squeezing,2
susepct,7
parking,145
plaza,7
pulling,77
alley,72
shoved,19
something,137
stupid,7
unzipping,8
exposing,10
forcing,52
wall,53
bend,29
stepped,14
making,59
noises,8
runing,1
help,131
emaleergency,5
maleedical,2
gone,129
arrivalunable,24
informaleation,11
malearch,1
maleaureen,1
malecmaleahon,1
items,69
bags,27
platoon,125
complaint,387
telephone,120
v,137
voice,35
municipal,49
bascone,9
assignedkidnappingrape,1
cleanup,363
karl,35
lessmann,55
july,41
zemba,3
broadcast,274
garden,28
valley,30
yes,106
sisaint,4
streeter,2
saint,659
lukes,206
intersection,20
lawnview,2
spotted,8
enter,60
shotguns,1
demanding,9
ducked,1
legs,125
herface,1
offhe,1
ovemergency,1
hemergency,12
hich,2
removed,218
panties,225
hear,61
richard,51
ct,35
ter,7
tore,22
bra,61
long,88
period,36
silence,4
became,137
noticed,152
half,36
wasnt,77
wearing,233
shoes,100
sisters,35
missing,115
clothing,361
utl,25
couldnt,62
drive,540
remained,44
tective,1
woods,13
incarcerated,16
till,18
ither,1
thi,1
patrice,5
indicated,30
needed,110
ti,7
think,40
week,66
wishes,7
say,156
barely,1
remember,107
happened,320
holmes,11
appointment,225
set,94
view,134
spread,40
showno,2
syointment,1
mailbox,9
rapearrest,65
sunday,105
occasion,171
arrest,803
antwan,6
wilson,221
led,97
members,387
breaking,20
entering,49
entry,85
talked,123
arrested,1837
parole,611
farnsworth,1
dayton,7
kikkisa,1
jordan,24
stole,7
dollards,1
bedroom,617
way,149
restrain,2
fight,58
price,7
somewhat,6
blood,93
splattered,1
kitchen,123
floor,382
leading,36
stating,198
wade,37
park,108
yet,35
nikkisa,1
